,date_day,repo_id,repo_name,count_stars
137,2015-11-01,14579099,plotly/plotly.py,148
138,2015-12-01,14579099,plotly/plotly.py,84
139,2016-01-01,14579099,plotly/plotly.py,127
140,2016-02-01,14579099,plotly/plotly.py,130
141,2016-03-01,14579099,plotly/plotly.py,131
142,2016-04-01,14579099,plotly/plotly.py,104
143,2016-05-01,14579099,plotly/plotly.py,118
144,2016-06-01,14579099,plotly/plotly.py,119
145,2016-07-01,14579099,plotly/plotly.py,149
146,2016-08-01,14579099,plotly/plotly.py,155
147,2016-09-01,14579099,plotly/plotly.py,103
148,2016-10-01,14579099,plotly/plotly.py,110
149,2016-11-01,14579099,plotly/plotly.py,55
150,2016-12-01,14579099,plotly/plotly.py,80
151,2017-01-01,14579099,plotly/plotly.py,76
152,2017-02-01,14579099,plotly/plotly.py,77
153,2017-03-01,14579099,plotly/plotly.py,93
154,2017-04-01,14579099,plotly/plotly.py,74
155,2017-05-01,14579099,plotly/plotly.py,83
156,2017-06-01,14579099,plotly/plotly.py,102
157,2017-07-01,14579099,plotly/plotly.py,107
158,2017-08-01,14579099,plotly/plotly.py,114
159,2017-09-01,14579099,plotly/plotly.py,75
160,2017-10-01,14579099,plotly/plotly.py,109
161,2017-11-01,14579099,plotly/plotly.py,120
162,2017-12-01,14579099,plotly/plotly.py,135
163,2018-01-01,14579099,plotly/plotly.py,153
164,2018-02-01,14579099,plotly/plotly.py,126
165,2018-03-01,14579099,plotly/plotly.py,153
166,2018-04-01,14579099,plotly/plotly.py,147
167,2018-05-01,14579099,plotly/plotly.py,111
168,2018-06-01,14579099,plotly/plotly.py,143
169,2018-07-01,14579099,plotly/plotly.py,174
170,2018-08-01,14579099,plotly/plotly.py,130
171,2018-09-01,14579099,plotly/plotly.py,101
172,2018-10-01,14579099,plotly/plotly.py,122
173,2018-11-01,14579099,plotly/plotly.py,114
174,2018-12-01,14579099,plotly/plotly.py,89
175,2019-01-01,14579099,plotly/plotly.py,145
176,2019-02-01,14579099,plotly/plotly.py,121
177,2019-03-01,14579099,plotly/plotly.py,168
178,2019-04-01,14579099,plotly/plotly.py,140
179,2019-05-01,14579099,plotly/plotly.py,142
180,2019-06-01,14579099,plotly/plotly.py,111
181,2019-07-01,14579099,plotly/plotly.py,172
182,2019-08-01,14579099,plotly/plotly.py,136
183,2019-09-01,14579099,plotly/plotly.py,130
184,2019-10-01,14579099,plotly/plotly.py,133
185,2019-11-01,14579099,plotly/plotly.py,137
186,2019-12-01,14579099,plotly/plotly.py,157
187,2020-01-01,14579099,plotly/plotly.py,125
188,2020-02-01,14579099,plotly/plotly.py,140
189,2020-03-01,14579099,plotly/plotly.py,199
190,2020-04-01,14579099,plotly/plotly.py,255
191,2020-05-01,14579099,plotly/plotly.py,375
192,2020-06-01,14579099,plotly/plotly.py,299
193,2020-07-01,14579099,plotly/plotly.py,276
194,2020-08-01,14579099,plotly/plotly.py,215
195,2020-09-01,14579099,plotly/plotly.py,222
196,2020-10-01,14579099,plotly/plotly.py,217
197,2020-11-01,14579099,plotly/plotly.py,255
198,2020-12-01,14579099,plotly/plotly.py,239
199,2021-01-01,14579099,plotly/plotly.py,262
200,2021-02-01,14579099,plotly/plotly.py,221
201,2021-03-01,14579099,plotly/plotly.py,247
202,2021-04-01,14579099,plotly/plotly.py,210
203,2021-05-01,14579099,plotly/plotly.py,172
204,2021-06-01,14579099,plotly/plotly.py,209
205,2021-07-01,14579099,plotly/plotly.py,179
206,2020-02-01,53548867,dbt-labs/dbt-core,79
207,2020-03-01,53548867,dbt-labs/dbt-core,73
208,2020-04-01,53548867,dbt-labs/dbt-core,95
209,2020-05-01,53548867,dbt-labs/dbt-core,73
210,2020-06-01,53548867,dbt-labs/dbt-core,102
211,2020-07-01,53548867,dbt-labs/dbt-core,83
212,2020-08-01,53548867,dbt-labs/dbt-core,84
213,2020-09-01,53548867,dbt-labs/dbt-core,114
214,2020-10-01,53548867,dbt-labs/dbt-core,116
215,2020-11-01,53548867,dbt-labs/dbt-core,128
216,2020-12-01,53548867,dbt-labs/dbt-core,127
217,2021-01-01,53548867,dbt-labs/dbt-core,143
218,2021-02-01,53548867,dbt-labs/dbt-core,158
219,2021-03-01,53548867,dbt-labs/dbt-core,137
220,2021-04-01,53548867,dbt-labs/dbt-core,145
221,2021-05-01,53548867,dbt-labs/dbt-core,108
222,2021-06-01,53548867,dbt-labs/dbt-core,127
223,2021-07-01,53548867,dbt-labs/dbt-core,187
224,2021-08-01,53548867,dbt-labs/dbt-core,109
225,2021-09-01,53548867,dbt-labs/dbt-core,115
226,2021-10-01,53548867,dbt-labs/dbt-core,57
227,2021-11-01,53548867,dbt-labs/dbt-core,134
228,2021-12-01,53548867,dbt-labs/dbt-core,164
229,2022-01-01,53548867,dbt-labs/dbt-core,168
230,2022-02-01,53548867,dbt-labs/dbt-core,142
231,2022-03-01,53548867,dbt-labs/dbt-core,167
232,2022-04-01,53548867,dbt-labs/dbt-core,202
233,2022-05-01,53548867,dbt-labs/dbt-core,261
234,2022-06-01,53548867,dbt-labs/dbt-core,173
235,2022-07-01,53548867,dbt-labs/dbt-core,158
236,2022-08-01,53548867,dbt-labs/dbt-core,153
237,2022-09-01,53548867,dbt-labs/dbt-core,345
238,2022-10-01,53548867,dbt-labs/dbt-core,202
239,2022-11-01,53548867,dbt-labs/dbt-core,146
240,2022-12-01,53548867,dbt-labs/dbt-core,152
241,2023-01-01,53548867,dbt-labs/dbt-core,173
242,2023-02-01,53548867,dbt-labs/dbt-core,187
243,2023-03-01,53548867,dbt-labs/dbt-core,133
244,2019-05-01,186647681,amundsen-io/amundsen,5
245,2019-06-01,186647681,amundsen-io/amundsen,19
246,2019-07-01,186647681,amundsen-io/amundsen,57
247,2019-08-01,186647681,amundsen-io/amundsen,82
248,2019-09-01,186647681,amundsen-io/amundsen,47
249,2019-10-01,186647681,amundsen-io/amundsen,69
250,2019-11-01,186647681,amundsen-io/amundsen,196
251,2019-12-01,186647681,amundsen-io/amundsen,75
252,2020-01-01,186647681,amundsen-io/amundsen,64
253,2020-02-01,186647681,amundsen-io/amundsen,77
254,2020-03-01,186647681,amundsen-io/amundsen,61
255,2020-04-01,186647681,amundsen-io/amundsen,97
256,2020-05-01,186647681,amundsen-io/amundsen,93
257,2020-06-01,186647681,amundsen-io/amundsen,90
258,2020-07-01,186647681,amundsen-io/amundsen,107
259,2020-08-01,186647681,amundsen-io/amundsen,109
260,2020-09-01,186647681,amundsen-io/amundsen,99
261,2020-10-01,186647681,amundsen-io/amundsen,133
262,2020-11-01,186647681,amundsen-io/amundsen,106
263,2020-12-01,186647681,amundsen-io/amundsen,90
264,2021-01-01,186647681,amundsen-io/amundsen,96
265,2021-02-01,186647681,amundsen-io/amundsen,104
266,2021-03-01,186647681,amundsen-io/amundsen,126
267,2021-04-01,186647681,amundsen-io/amundsen,119
268,2021-05-01,186647681,amundsen-io/amundsen,98
269,2021-06-01,186647681,amundsen-io/amundsen,137
270,2021-07-01,186647681,amundsen-io/amundsen,123
271,2021-08-01,186647681,amundsen-io/amundsen,123
272,2021-09-01,186647681,amundsen-io/amundsen,113
273,2021-10-01,186647681,amundsen-io/amundsen,40
274,2019-02-01,206444,hive,39
275,2019-03-01,206444,hive,64
276,2019-04-01,206444,hive,73
277,2019-05-01,206444,hive,70
278,2019-06-01,206444,hive,61
279,2019-07-01,206444,hive,77
280,2019-08-01,206444,hive,57
281,2019-09-01,206444,hive,74
282,2019-10-01,206444,hive,55
283,2019-11-01,206444,hive,59
284,2019-12-01,206444,hive,67
285,2020-01-01,206444,hive,38
286,2020-02-01,206444,hive,46
287,2020-03-01,206444,hive,52
288,2020-04-01,206444,hive,77
289,2020-05-01,206444,hive,67
290,2020-06-01,206444,hive,54
291,2020-07-01,206444,hive,61
292,2020-08-01,206444,hive,59
293,2020-09-01,206444,hive,51
294,2020-10-01,206444,hive,52
295,2020-11-01,206444,hive,53
296,2020-12-01,206444,hive,54
297,2021-01-01,206444,hive,71
298,2021-02-01,206444,hive,41
299,2021-03-01,206444,hive,57
300,2021-04-01,206444,hive,50
301,2021-05-01,206444,hive,44
302,2021-06-01,206444,hive,45
303,2021-07-01,206444,hive,56
304,2021-08-01,206444,hive,47
305,2021-09-01,206444,hive,50
306,2021-10-01,206444,hive,13
307,2021-11-01,206444,hive,49
308,2021-12-01,206444,hive,59
309,2022-01-01,206444,hive,60
310,2022-02-01,206444,hive,47
311,2022-03-01,206444,hive,65
312,2022-04-01,206444,hive,60
313,2022-05-01,206444,hive,41
314,2022-06-01,206444,hive,57
315,2022-07-01,206444,hive,49
316,2022-08-01,206444,hive,45
317,2022-09-01,206444,hive,43
318,2022-10-01,206444,hive,51
319,2022-11-01,206444,hive,49
320,2022-12-01,206444,hive,29
321,2023-01-01,206444,hive,49
322,2023-02-01,206444,hive,54
323,2023-03-01,206444,hive,54
324,2021-09-01,24470524,zingchart/ZingChart,2
325,2021-11-01,24470524,zingchart/ZingChart,1
326,2022-01-01,24470524,zingchart/ZingChart,2
327,2022-03-01,24470524,zingchart/ZingChart,2
328,2022-04-01,24470524,zingchart/ZingChart,2
329,2022-05-01,24470524,zingchart/ZingChart,3
330,2022-06-01,24470524,zingchart/ZingChart,1
331,2022-08-01,24470524,zingchart/ZingChart,1
332,2022-10-01,24470524,zingchart/ZingChart,2
333,2022-12-01,24470524,zingchart/ZingChart,1
334,2023-03-01,24470524,zingchart/ZingChart,1
335,2021-08-01,14579099,plotly/plotly.py,182
336,2021-09-01,14579099,plotly/plotly.py,176
337,2021-10-01,14579099,plotly/plotly.py,83
338,2021-11-01,14579099,plotly/plotly.py,181
339,2021-12-01,14579099,plotly/plotly.py,164
340,2022-01-01,14579099,plotly/plotly.py,194
341,2022-02-01,14579099,plotly/plotly.py,145
342,2022-03-01,14579099,plotly/plotly.py,192
343,2022-04-01,14579099,plotly/plotly.py,191
344,2022-05-01,14579099,plotly/plotly.py,167
345,2022-06-01,14579099,plotly/plotly.py,157
346,2022-07-01,14579099,plotly/plotly.py,165
347,2022-08-01,14579099,plotly/plotly.py,162
348,2022-09-01,14579099,plotly/plotly.py,168
349,2022-10-01,14579099,plotly/plotly.py,172
350,2022-11-01,14579099,plotly/plotly.py,168
351,2022-12-01,14579099,plotly/plotly.py,163
352,2023-01-01,14579099,plotly/plotly.py,177
353,2023-02-01,14579099,plotly/plotly.py,170
354,2023-03-01,14579099,plotly/plotly.py,149
355,2014-10-01,24470524,zingchart/ZingChart,1
356,2015-01-01,24470524,zingchart/ZingChart,5
357,2015-02-01,24470524,zingchart/ZingChart,1
358,2015-03-01,24470524,zingchart/ZingChart,2
359,2015-04-01,24470524,zingchart/ZingChart,6
360,2015-05-01,24470524,zingchart/ZingChart,4
361,2015-06-01,24470524,zingchart/ZingChart,10
362,2015-07-01,24470524,zingchart/ZingChart,4
363,2015-08-01,24470524,zingchart/ZingChart,10
364,2015-09-01,24470524,zingchart/ZingChart,3
365,2015-10-01,24470524,zingchart/ZingChart,4
366,2015-11-01,24470524,zingchart/ZingChart,7
367,2015-12-01,24470524,zingchart/ZingChart,5
368,2016-01-01,24470524,zingchart/ZingChart,3
369,2016-02-01,24470524,zingchart/ZingChart,6
370,2016-03-01,24470524,zingchart/ZingChart,4
371,2016-04-01,24470524,zingchart/ZingChart,2
372,2016-05-01,24470524,zingchart/ZingChart,4
373,2016-06-01,24470524,zingchart/ZingChart,10
374,2016-07-01,24470524,zingchart/ZingChart,10
375,2016-08-01,24470524,zingchart/ZingChart,11
376,2016-09-01,24470524,zingchart/ZingChart,4
377,2016-10-01,24470524,zingchart/ZingChart,6
378,2016-11-01,24470524,zingchart/ZingChart,7
379,2016-12-01,24470524,zingchart/ZingChart,1
380,2017-01-01,24470524,zingchart/ZingChart,10
381,2017-02-01,24470524,zingchart/ZingChart,6
